Gene List obtained from Convex Analysis of Mixtures,,,,
(Four Groups Obtained),,,,
Group1 ,Group2,Group3,Group4,
ACADSB,AADACL2,ABCC11,ALPP,
ACER2,ACER1,ABCC12,C14orf23,
AFF3,ALOX12B,ABCC6P1,C1QL2,
ANKRD30A,ARG1,APOD,C2orf51,
APBB2,ASPHD1,APOF,CAPN6,
AR,ASPRV1,C1orf230,DCHS2,
C14orf53,BEST2,C2CD4A,FOXG1,
C6orf211,BPIL2,C8orf75,GPR156,
CA12,C1orf68,CRAT,KIF1A,
CCDC148,C3orf79,CRISP1,LOC100124692,
CDYL2,CAPNS2,CYP4Z2P,NRAD1,
CLSTN2,CARD18,DMRTC2,MGAM2,
CNGA3,CCL27,FCN2,MAGEB4,
CPEB4,CES7,GCM1,MMP20,
CTTNBP2,CHP2,GLYATL1,POU4F1,
DENND1B,CLEC2A,HRASLS2,STAC,
DNAH5,CPNE6,MUCL1,UGT8,
DNAH7,CRCT1,NCRNA00160,ZFP42,
ELOVL2,CRNN,NOTO,,
ENTPD5,CYP4F12,PIP,,
ERBB4,DES,PNMT,,
ESR1,FAM25B,PPP1R14D,,
FAM161B,FAM83C,PRR15L,,
FAM198B,FGF22,SERHL2,,
FAM38B,FLG,SLC25A18,,
FRMPD2,FLG2,SPINK8,,
GCNT4,HS3ST6,THRSP,,
GPR139,IL1F10,TMEM86A,,
GPR26,KCNK7,UGT2B10,,
GPR81,KPRP,UGT2B11,,
GREB1L,KRT10,WFDC6,,
IL6ST,KRT1,,,
INPP4B,KRT2,,,
ITPR1,KRT31,,,
KCNJ3,KRT78,,,
KIAA1244,KRTDAP,,,
LASS6,LCE1A,,,
LOC148696,LCE1B,,,
LINC02995,LCE1C,,,
LRBA,LCE1D,,,
LYPD6,LCE1E,,,
MKL2,LCE1F,,,
MYB,LCE2A,,,
NBEA,LCE2B,,,
NOS1AP,LCE2C,,,
NPNT,LCE2D,,,
NPY1R,LCE3D,,,
NPY5R,LCE3E,,,
NUDT12,LCE4A,,,
OR2C1,LCE5A,,,
OR8H1,LCE6A,,,
PABPC5,LCNL1,,,
PARD6B,LGALS7,,,
PDZK1,LGALS7B,,,
PDZK1P1,LGI3,,,
PGR,LIPM,,,
PRLR,LINC01300,,,
PTGER3,LOR,,,
RAB27B,MLANA,,,
RABEP1,MMP28,,,
RASEF,NKPD1,,,
RBM24,NPW,,,
RP1,PHYHIP,,,
SCN7A,PLA2G2F,,,
SLC18A2,PNPLA1,,,
SLC39A6,PSG7,,,
SLITRK6,PTGDS,,,
SPAG17,RDH12,,,
ST8SIA6,SBSN,,,
SYTL2,SDR9C7,,,
TBC1D9,SERPINA12,,,
THSD4,SILV,,,
TMEM26,SMAD5OS,,,
UGCG,SOX21,,,
VWA2,SPINK5,,,
WDR65,SPINK7,,,
WWP1,SPRR1A,,,
ZMAT4,SPRR1B,,,
ZNF214,SPRR4,,,
ZNF92,THEM5,,,
,TP53AIP1,,,
,TRIM48,,,
,TRPM1,,,
,TYR,,,
,WFDC12,,,
,WFDC5,,,
,WFIKKN2,,,
,ZCCHC12,,,
